index,burst,B,S,C,Y
0,0,-0.00113319,0,-1.10042e-14,0.0424528
0,0,-0.000504078,0,-1.10042e-14,-0.00364864
0,0,-0.000580426,0,-1.10042e-14,0.0158497
0,0,-0.000251048,0,-1.10042e-14,0.00662222
0,0,0.000282553,0,-1.10042e-14,-0.0205782
0,0,0.0011651,0,-1.10042e-14,0.00653476
0,0,0.000528128,0,-1.10042e-14,0.0123267
0,0,0.00155039,0,-1.10042e-14,0.0399132
0,0,0.00325456,0,-1.10042e-14,-0.00191792
0,0,0.00352934,0,-1.10042e-14,0.0244425
0,0,0.00373967,0,-1.10042e-14,0.0138218
0,0,0.00297905,0,-1.10042e-14,0.0336804
0,0,0.00456876,0,-1.10042e-14,0.0303103
0,0,0.00422965,0,-1.10042e-14,-0.0203519
0,0,0.00569396,0,-1.10042e-14,-0.0156359
0,0,0.00604527,0,-1.10042e-14,0.00555339
0,0,0.0049926,0,-1.10042e-14,-0.00217407
0,0,0.0059017,0,-1.10042e-14,0.0378929
0,0,0.00485288,0,-1.10042e-14,-0.0177331
0,0,0.00596081,0,-1.10042e-14,-0.0103068
0,0,0.00610925,0,-1.10042e-14,-0.0160841
0,0,0.00540901,0,-1.10042e-14,0.0214592
0,0,0.00458953,0,-1.10042e-14,-0.00763567
0,0,0.00504621,0,-1.10042e-14,0.00581142
0,0,0.00610619,0,-1.10042e-14,0.00606832
0,0,0.00607572,0,-1.10042e-14,-0.001394
0,0,0.00409692,0,-1.10042e-14,-0.0192746
0,0,0.00413205,0,-1.10042e-14,0.020088
0,0,0.00327248,0,-1.10042e-14,-0.0106559
0,0,0.00324107,0,-1.10042e-14,-0.000931676
0,0,0.00197216,0,-1.10042e-14,-0.00601986
0,0,0.000455573,0,-1.10042e-14,-0.00404437
0,0,0.00211513,0,-1.10042e-14,-0.00726032
0,0,0.00110159,0,-1.10042e-14,-0.00568452
0,0,0.00134881,0,-1.10042e-14,-0.0268461
0,0,0.00106016,0,-1.10042e-14,-0.0179304
0,0,0.000333443,0,-1.10042e-14,-0.00659667
0,0,-0.000106436,0,-1.10042e-14,-0.0139673
0,0,-9.4304e-05,0,-1.10042e-14,0.0276814
0,0,0.000637753,0,-1.10042e-14,0.0174663
0,0,0.000592343,0,-1.10042e-14,-0.0215829
0,0,0.000422093,0,-1.10042e-14,-0.00976026
0,0,-8.2009e-05,0,-1.10042e-14,0.00601908
0,0,0.000594157,0,-1.10042e-14,0.00912519
0,0,-0.00107487,0,-1.10042e-14,0.00426895
0,0,-0.000640851,0,-1.10042e-14,-0.0159235
0,0,-0.00303323,0,-1.10042e-14,0.00787975
0,0,-0.00325849,0,-1.10042e-14,0.0394796
0,0,-0.00373085,0,-1.10042e-14,0.0251088
0,0,-0.00409036,0,-1.10042e-14,-0.0277824
0,0,-0.00558765,0,-1.10042e-14,0.0228108
0,0,-0.00414605,0,-1.10042e-14,-0.0259308
0,0,-0.0039663,0,-1.10042e-14,0.0109257
0,0,-0.00447943,0,-1.10042e-14,0.01514
0,0,-0.00479136,0,-1.10042e-14,-0.0339935
0,0,-0.00419706,0,-1.10042e-14,0.00534651
0,0,-0.00462819,0,-1.10042e-14,-0.0262311
0,0,-0.00457075,0,-1.10042e-14,-0.0312186
0,0,-0.00415824,0,-1.10042e-14,0.05918
0,0,-0.00265102,0,-1.10042e-14,0.000353917
0,0,-0.00266403,0,-1.10042e-14,0.0341965
0,0,-0.0023322,0,-1.10042e-14,-0.00390898
0,0,-0.00257992,0,-1.10042e-14,0.0119125
0,0,-0.00366526,0,-1.10042e-14,-0.00959338
0,0,-0.0056311,0,-1.10042e-14,-0.0274916
0,0,-0.0056549,0,-1.10042e-14,0.00279666
0,0,-0.00685918,0,-1.10042e-14,0.0299919
0,0,-0.00623405,0,-1.10042e-14,0.0207037
0,0,-0.00529664,0,-1.10042e-14,0.0141136
0,0,-0.00358219,0,-1.10042e-14,-0.0244374
0,0,-0.00416583,0,-1.10042e-14,0.0179548
0,0,-0.00429886,0,-1.10042e-14,-0.010197
0,0,-0.00574038,0,-1.10042e-14,0.0227431
0,0,-0.00736619,0,-1.10042e-14,-0.014921
0,0,-0.00829354,0,-1.10042e-14,0.0193629
0,0,-0.00865263,0,-1.10042e-14,0.0233268
0,0,-0.00705931,0,-1.10042e-14,0.0185051
0,0,-0.00708248,0,-1.10042e-14,0.0151467
0,0,-0.0078758,0,-1.10042e-14,-0.00972329
0,0,-0.00719623,0,-1.10042e-14,-0.0118329
0,0,-0.00694794,0,-1.10042e-14,-0.00828635
0,0,-0.00622955,0,-1.10042e-14,0.00242446
0,0,-0.00643902,0,-1.10042e-14,0.0253479
0,0,-0.00656997,0,-1.10042e-14,0.0146279
0,0,-0.00580964,0,-1.10042e-14,-0.0339032
0,0,-0.00450604,0,-1.10042e-14,0.00910209
0,0,-0.00435617,0,-1.10042e-14,0.0112862
0,0,-0.00363881,0,-1.10042e-14,0.0297117
0,0,-0.00261753,0,-1.10042e-14,-0.0206804
0,0,-0.00384514,0,-1.10042e-14,0.0124238
0,0,-0.00256325,0,-1.10042e-14,-0.0153708
0,0,-0.0030235,0,-1.10042e-14,0.0258201
0,0,-0.00378381,0,-1.10042e-14,0.0109324
0,0,-0.00302642,0,-1.10042e-14,0.0176048
0,0,-0.00321682,0,-1.10042e-14,-0.0167824
0,0,-0.00324338,0,-1.10042e-14,-0.0289827
0,0,-0.00299631,0,-1.10042e-14,0.00352799
0,0,-0.00211269,0,-1.10042e-14,-0.00477761
0,0,-0.00351436,0,-1.10042e-14,0.00845259
0,0,-0.00204298,0,-1.10042e-14,-0.00366463
